author,content,description,photo_url,pub_date,source,title,url
Theresa Braine,,"Once upon a time, delivering babies by candlelight was how it was done. However, undertaken in the middle of a tornado, while sheltering in a tiny laundry room with the power knocked out as sirens wailed…. Well, that was something else entirely. This is how a…",https://www.nydailynews.com/resizer/6r4CojgMK2w_tuRKYTOaDCiKthE=/1200x0/top/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/K7YYRXJ7UBAXBO7RAOASA2RRLQ.jpg,2019-10-21,Nydailynews.com,Baby delivered in birthing center laundry room by candlelight during Dallas tornado,https://www.nydailynews.com/news/national/ny-dallas-tornado-baby-delivered-candlelight-20191021-h7s3qwoklvd6tjeoui3vjfe5fu-story.html
CBS News,,"The National Weather Service said a tornado that ripped through the Dallas area was a powerful EF3, with winds of about 140 miles an hour. It blasted apart homes and left thousands without power. Omar Villafranca reports.",https://cbsnews3.cbsistatic.com/hub/i/r/2019/10/21/dbeafcb0-0c45-43eb-8f4c-933e4ed3d408/thumbnail/1200x630/e25a6a6740a8ea1c745158f432879a75/1021-en-txtornado-villafranca-1956155-640x360.jpg,2019-10-21,CBS News,"Tornado rips through Dallas, destroying homes and businesses",https://www.cbsnews.com/video/tornado-rips-through-dallas-destroying-homes-and-businesses/
,"The National Weather Service said a tornado that ripped through the Dallas area was a powerful EF3, with winds of about 140 miles an hour. It blasted apart homes and left thousands without power. Omar Villafranca reports.
Subscribe to the ""CBS Evening News"" … [+908 chars]","The National Weather Service said a tornado that ripped through the Dallas area was a powerful EF3, with winds of about 140 miles an hour. It blasted apart h...",https://i.ytimg.com/vi/waiPPZHELGA/maxresdefault.jpg,2019-10-21,Youtube.com,"Tornado rips through Dallas, destroying homes and businesses - CBS Evening News",https://www.youtube.com/watch?v=waiPPZHELGA
Robert Wilonsky,"As the sun rose over northwest Dallas on Monday morning it was eerily quiet. Even in one of the areas hardest hit near Midway and Merrill roads, where a historic elementary is now unusable all one could hear was the sound of water gushing from broken pipes, f… [+8903 chars]","In NW Dallas, scenes of a tornado's devastation look much different when they happen close to home The Dallas Morning News National Weather Service Confirms Tornado Touched Down in Dallas Bloomberg TicToc Tyler Seguin's home that is up for sale heavily damage…",https://dmn-dallas-news-prod.cdn.arcpublishing.com/resizer//ULvMXMgy9avA2saYE7uIG9jmbFc=/1200x630/smart/filters:no_upscale()/arc-anglerfish-arc2-prod-dmn.s3.amazonaws.com/public/W2OO7Z2AQNGPPD37ZDSGIVP6GQ.jpg,2019-10-21,Dallasnews.com,"In NW Dallas, scenes of a tornado's devastation look much different when they happen close to home - The Dallas Morning News",https://www.dallasnews.com/news/commentary/2019/10/21/in-nw-dallas-scenes-of-a-tornados-devastation-look-much-different-when-they-happen-close-to-home/
NBCNews.com,,"Tens of thousands of Dallas residents woke up to no power on Monday after a tornado plowed a long path through the area, leaving scenes of destruction in its wake. The storm system turned deadly in Oklahoma and Arkansas, where people were killed by toppled tr…",https://media12.s-nbcnews.com/j/MSNBC/Components/Video/201910/nn_ggu_dallas_tornado_destruction_191021_1571699169256.nbcnews-fp-1200-630.jpg,2019-10-21,NBC News,"Tornado rips through Dallas, leaving almost 20-mile trail of destruction",https://www.nbcnews.com/nightly-news/video/tornado-rips-through-dallas-leaving-almost-20-mile-trail-of-destruction-71782981619
"CNN, CNN",,"A tornado tears through part of Texas, an Australian airline considers adding a record-breaking flight, and assistive technology changes lives worldwide.",,2019-10-21,CNN,CNN10 - 10/22/19,http://rss.cnn.com/~r/services/podcasting/studentnews/rss/~3/Phe7k_NTNl8/ten-1022.cnn_2848855_ios_1240.mp4
,"Dallas police officials are investigating what an officer was doing when he was captured on video holding what appears to be bottles of alcohol outside a liquor store after a tornado blew through the area Sunday. 
The video has gained traction on social medi… [+974 chars]",Dallas police officials are investigating what an officer was doing when WFAA captured video of him carrying what appeared to be alcohol after Sunday's tornado.,https://media.myfoxzone.com/assets/WFAA/images/74107ba1-c594-4939-8e42-d925b4224029/74107ba1-c594-4939-8e42-d925b4224029_1140x641.png,2019-10-21,Wfaa.com,Video of Dallas police officer with alcohol raises questions online,https://www.wfaa.com/article/weather/severe-weather/video-dallas-police-officer-with-alcohol-raises-questions-online/287-5bbd9f89-1d24-41ac-91dd-55ac2d80f240
Associated Press,"DALLAS A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city “very fortunate” to be assessing only property damage.
A meteorologi… [+1238 chars]","DALLAS — A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city “very fortunate” to be assessing only property damage. A meteorolog…",https://www.bostonherald.com/wp-content/uploads/2019/10/AP19294603843150.jpg?w=1024&h=712,2019-10-21,Bostonherald.com,"Tornado slams Dallas; 4 killed in Arkansas, Oklahoma",https://www.bostonherald.com/2019/10/21/tornado-slams-dallas-4-killed-in-arkansas-oklahoma/
Chris Blake,"Two Dallas Independent School District campuses are likely a ""total loss"" and Thomas Jefferson High School will be uninhabitable through at least the end of the school year after a tornado blew through North Dallas Sunday night, the district's superintendent … [+2777 chars]","2 Dallas ISD Schools Likely a 'Total Loss' After Sunday Storms, Jefferson HS Done at Least Through End of School Year NBC 5 Dallas-Fort Worth National Weather Service Confirms Tornado Touched Down in Dallas Bloomberg TicToc Tyler Seguin's home that is up for …",https://media.nbcdfw.com/images/1200*675/Walnut-Hill-Elementary-School-DISD-102119.jpg,2019-10-21,Nbcdfw.com,"2 Dallas ISD Schools Likely a 'Total Loss' After Sunday Storms, Jefferson HS Done at Least Through End of School Year - NBC 5 Dallas-Fort Worth",https://www.nbcdfw.com/weather/stories/Superintendent-to-Address-Damage-Sustained-at-Dallas-ISD-Campuses-563572991.html
DAVE G. HOUSER,"Travel trends come and go - from eco travel to medical tourism, spiritual travel to tornado tourism. One of the latest trends appears to be all about stripping things down to the basics. And I mean that literally.
 The ""nakation"" - aka clothing-optional tour… [+3938 chars]",Nude recreation is fast becoming a billion dollar-a-year industry.,https://resources.stuff.co.nz/content/dam/images/1/s/4/l/h/d/image.related.StuffLandscapeSixteenByNine.1420x800.1xiow8.png/1571693531422.jpg,2019-10-21,Stuff.co.nz,Are you ready for a 'nakation'?,https://www.stuff.co.nz/travel/themes/beaches/116765576/are-you-ready-for-a-nakation
,"DALLAS (AP) A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states.
Radar … [+4946 chars]","DALLAS (AP) — A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states. Radar…",https://www.10tv.com/sites/default/files/styles/article_image/public/2019/10/21/texas_tornado_102019.jpg?itok=tGGMf1tK,2019-10-21,10tv.com,"Tornado slams Dallas; 4 killed in Arkansas, Oklahoma",https://www.10tv.com/article/tornado-slams-dallas-4-killed-arkansas-oklahoma-2019-oct
Kevin D. Williamson,"A tornado in North Dallas, Texas, October 20, 2019.(Philip Ellis/Social media via Reuters)
A tornado tore through Dallas not too far from where I live last night. I slept through it.
A Home Depot got leveled, and there was a fair amount of damage to houses … [+2295 chars]","Some trouble cannot be foreseen or escaped. And so we call our loved ones to tell them what they already know, just in case. Just in case.",https://i1.wp.com/www.nationalreview.com/wp-content/uploads/2019/10/dallas-texas-tornado.jpg?fit=1200%2C700&ssl=1,2019-10-21,National Review,News Flashes,https://www.nationalreview.com/corner/news-flashes/
Tim Stelloh,"The storm system that tore across Texas on Sunday night, spawning a twister that left tens of thousands of people without power in the Dallas area, has left one person dead in Arkansas, officials said Monday.
Michael Waddle, director of emergency management … [+2944 chars]","A man in Benton County, Arkansas, was crushed by a tree overnight after a powerful storm plowed through the region.",https://media2.s-nbcnews.com/j/newscms/2019_43/3062231/191021-texas-tornado-cs-353p_cd9c18b433ed7b8076d1241774491d21.nbcnews-fp-1200-630.jpg,2019-10-21,NBC News,Storm system that tore across Texas leaves one dead in Arkansas,https://www.nbcnews.com/news/weather/storm-system-tore-across-texas-leaves-one-dead-arkansas-n1069726
Natalie Gempel,"If you werent in the path of tornado Sunday night, youve probably seen the pictures by now. The storm caused devastating damage across North Dallas, and while no serious injuries have been reported, extreme winds tore apart businesses, schools, and neighborho… [+2342 chars]","If you weren’t in the path of tornado Sunday night, you’ve probably seen the pictures by now. The storm caused devastating damage across North Dallas, and while no serious injuries have been reported, extreme winds tore apart businesses, schools, and neighbor…",https://assets.dmagstatic.com/wp-content/uploads/2019/10/D-Magazine-Tornado-aftermath-102119-Bret-Redman-0761.jpg,2019-10-21,Dmagazine.com,These Dallas Businesses Were Damaged In Sunday’s Storm,https://www.dmagazine.com/arts-entertainment/2019/10/these-dallas-businesses-were-hit-by-sundays-storm/
,"The Salvation Army of North Texas is providing assistance in affected communities after a tornado struck the Dallas area Sunday evening. Multiple neighborhoods were left without power and structural damage has been reported throughout the areas of the city.
… [+2080 chars]",Crews from Salvation Army of North Texas were activated after a tornado ripped through the Dallas area Sunday night.,https://media.myfoxzone.com/assets/KIDY/images/84111cda-17eb-414c-9763-581e25feaa0d/84111cda-17eb-414c-9763-581e25feaa0d_1140x641.jpg,2019-10-21,Myfoxzone.com,Salvation Army of North Texas providing help for Dallas residents affected by Sunday's tornado,https://www.myfoxzone.com/article/weather/severe-weather/salvation-army-of-north-texas-providing-help-for-dallas-residents-affected-by-sundays-tornado/504-f256c06d-edbf-49a1-a0c8-aa29aed144f9
Kate Jordan,"BENTON COUNTY, Ark. (KNWA) An emergency disaster declaration has been issued for Benton County. 
Judge Barry Moehring signed the declaration Monday, Oct. 21 due to the damage throughout the area.
During the storm, nearly 80 roads were closed in unincorporat… [+1508 chars]","BENTON COUNTY, Ark. (KNWA) — An emergency disaster declaration has been issued for Benton County. Judge Barry Moehring signed the declaration Monday, Oct. 21 due to the damage throughout the area. During the storm, nearly 80 roads were closed in uni","https://www.nwahomepage.com/wp-content/uploads/sites/90/2019/10/tree-on-house-1.jpg?w=960&h=720&crop=1&resize=1280,720",2019-10-21,Nwahomepage.com,Emergency disaster declaration issued for Benton County,https://www.nwahomepage.com/news/emergency-disaster-declaration-issued-for-benton-county/
,"DALLAS —A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states.
Radar conf… [+3138 chars]","EF-3 tornado slams Dallas, says NWS; 4 killed in Arkansas, Oklahoma WLWT Cincinnati National Weather Service Confirms Tornado Touched Down in Dallas Bloomberg TicToc Tornado slams Dallas; 4 killed in Arkansas, Oklahoma Yahoo News Stars' Ben Bishop, Tyler Segu…","https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/s115987981-jpg-1571660136.jpg?crop=1.00xw:1.00xh;0,0&resize=1200:*",2019-10-21,Wlwt.com,"EF-3 tornado slams Dallas, says NWS; 4 killed in Arkansas, Oklahoma - WLWT Cincinnati",https://www.wlwt.com/article/tornado-touches-down-in-dallas/29529501
,"DALLAS —A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states.
Radar conf… [+3138 chars]","EF-3 tornado slams Dallas, says NWS; 4 killed in Arkansas, Oklahoma WCVB Boston Tornado Touches Down in Dallas VOA News Tyler Seguin of Dallas Stars -- Tornado area 'extremely sad sight to see' ESPN DFW Weather: Tornado Touches Down, Leaves Damage Across Dall…","https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/s115987981-jpg-1571660136.jpg?crop=1.00xw:1.00xh;0,0&resize=1200:*",2019-10-21,Wcvb.com,"EF-3 tornado slams Dallas, says NWS; 4 killed in Arkansas, Oklahoma - WCVB Boston",https://www.wcvb.com/article/tornado-touches-down-in-dallas/29529501
Derek Willis,"My thoughts are with all my dallas neighbors who were affected by last night's tornado. I hope you are all safe. As we prepare to rebuild, here are some organizations who are stepping up to help: https://t.co/8Tr2HE0TbG
It looks like this tweet was replaced … [+36 chars]","My thoughts are with all my dallas neighbors who were affected by last night's tornado. I hope you are all safe. As we prepare to rebuild, here are some organizations who are stepping up to help: https://t.co/8Tr2HE0TbG",,2019-10-21,Propublica.org,@candacefor24 -- Deleted after 7 minutes less than a minute ago,https://projects.propublica.org/politwoops/tweet/1186382169096249344
Derek Willis,"My thoughts are with all my Dallas area neighbors who were affected by last night's tornado. I hope you are all safe. As we prepare to rebuild, here are some organizations who are stepping up to help: https://t.co/FfQYRDU4Mj
It looks like this tweet was repl… [+41 chars]","My thoughts are with all my Dallas area neighbors who were affected by last night's tornado. I hope you are all safe. As we prepare to rebuild, here are some organizations who are stepping up to help: https://t.co/FfQYRDU4Mj",,2019-10-21,Propublica.org,@candacefor24 -- Deleted after 7 minutes 5 minutes ago,https://projects.propublica.org/politwoops/tweet/1186381288598659073
"AP Domestic, AP",,A tornado tore homes and businesses apart in a densely populated area of Dallas but only minor injuries were reported. Tens of thousands of people were without electricity. (Oct. 21),https://www.gannett-cdn.com/authoring/video-thumbnails/d9dd3fbc-4ce7-4e89-86a5-2e5b6bcc8b60_poster.jpg,2019-10-21,USA Today,Twister tears apart Dallas homes and businesses,https://www.usatoday.com/videos/news/nation/2019/10/21/twister-tears-apart-dallas-homes-and-businesses/4057569002/
Wade Goodwyn,,"Severe weather in Dallas has lead to mass power outages and business closures, but the area escaped a more devastating blow from dangerous tornadoes.",https://media.npr.org/include/images/facebook-default-wide.jpg?s=1400,2019-10-21,Npr.org,"Tornado Touches Down In North Texas, Destroys Houses, Churches, Commercial Buildings",https://www.npr.org/2019/10/21/772049924/tornado-touches-down-in-north-texas-destroys-houses-churches-commercial-building
Shawn Shinneman,"Ann Marie Scichili stood on her back porch and pointed at her neighbors.
That house doesnt have a roof anymore, she said. This house had a tree fall in on it.
And that fence back there, tipped nearly parallel to the earthhers?
Yeah, she said, it was.
Scic… [+3593 chars]","Ann Marie Scichili stood on her back porch and pointed at her neighbors. “That house doesn’t have a roof anymore,” she said. “This house had a tree fall in on it.” And that fence back there, tipped nearly parallel to the earth—hers? “Yeah,” she said, “it was.…",https://assets.dmagstatic.com/wp-content/uploads/2019/10/D-Magazine-Tornado-aftermath-102119-Bret-Redman-055.jpg,2019-10-21,Dmagazine.com,North Dallas Families Regroup After an EF3 Tornado Rips Through Their Neighborhood,https://www.dmagazine.com/frontburner/2019/10/preston-hollow-north-dallas-tornado-damage/
Matt Zarrell,"A Texas woman gave birth to a baby girl by candlelight Sunday evening as a tornado swept across the state.
Interested in Tornadoes?
Add Tornadoes as an interest to stay up to date on the latest Tornadoes news, video, and analysis from ABC News.
The Bump Bi… [+988 chars]",A Texas woman gave birth to a baby girl by candlelight while a tornado was on the ground a half-mile away and sirens were blaring.,https://s.abcnews.com/images/US/tornado-1-ap-er-191021_hpMain_16x9_992.jpg,2019-10-21,ABC News,Woman delivers baby girl by candlelight during tornado,https://abcnews.go.com/US/texas-woman-delivers-baby-girl-candlelight-tornado/story?id=66424054
Rebecca Ayers,,"Jim Murnik was afraid he was going to die. When Murnik heard that a tornado was in the vicinity, he headed back to his business to move the cars he was working on to a more secure location. Then the auto hail repair shop owner felt the wind and the pressure m…",,2019-10-21,Bizjournals.com,"Tornado, storms in Dallas area halt operations at local businesses",https://www.bizjournals.com/dallas/news/2019/10/21/tornado-storms-dallas.html?ana=RSS&s=article_search&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+bizj_dallas+%28Dallas+Business+Journal%29
Rebecca Ayers,,"Jim Murnik was afraid he was going to die. When Murnik heard that a tornado was in the vicinity, he headed back to his business to move the cars he was working on to a more secure location. Then the auto hail repair shop owner felt the wind and the pressure m…",,2019-10-21,Bizjournals.com,"Tornado, storms in Dallas area halt operations at local businesses",https://www.bizjournals.com/dallas/news/2019/10/21/tornado-storms-dallas.html?ana=RSS&s=article_search&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+bizj_national+%28Bizjournals+National+Feed%29
,,"Tornado, storms in Dallas area halt operations at local businesses Dallas Business Journal",,2019-10-21,Bizjournals.com,"Tornado, storms in Dallas area halt operations at local businesses - Dallas Business Journal",https://www.bizjournals.com/dallas/news/2019/10/21/tornado-storms-dallas.html
By Jamie Stengle and Jake Bleiberg,"<ul><li>In this Sunday, Oct. 20, 2019 photo, Matt Younger, right, a pastor at Northway Church, embraces facilities associate Robert Lusk in their church's severely damaged sanctuary after a tornado tore through North Dallas. (AP Photo/Jeffrey McWhorter)
 les… [+3436 chars]","DALLAS - A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states. 
 Radar co…",https://s.hdnux.com/photos/01/06/36/60/18476048/5/rawImage.jpg,2019-10-21,Sfgate.com,"4 killed as severe storms slam Dallas, Arkansas, Oklahoma",https://www.sfgate.com/nation/article/4-killed-as-severe-storms-slam-Dallas-Arkansas-14550939.php
Brandon Specktor,"Whoa... Insane view of Dallas tornado, that moved through moments ago. pic.twitter.com/Uzmzy2JGBAOctober 21, 2019
A destructive tornado touched down in the northeastern part of Dallas on Sunday night (Oct. 20), knocking out power for more than 150,000 reside… [+3664 chars]","A destructive tornado hit northern Dallas on Sunday, Oct. 20, causing widespread power outages and significant property damage.",https://cdn.mos.cms.futurecdn.net/VLPYsTE7wUKDMNseCBfv3c-1200-80.jpg,2019-10-21,Livescience.com,"A Violent Tornado Hit Dallas Last Night, Throwing Debris 3 Miles High",https://www.livescience.com/dallas-texas-tornado-2019.html
The Associated Press,"Dallas Stars player Tyler Seguin says his home was heavily damaged by severe storms that swept through Dallas, but no one was hurt.
The hockey player said on Twitter that he had moved to another home and that the property damaged late Sunday was listed for s… [+689 chars]","Dallas Stars player Tyler Seguin says his home was heavily damaged by severe storms that swept through Dallas, but no one was hurt.",https://i.cbc.ca/1.5329260.1571687975!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_620/tyler-seguin-house.JPG,2019-10-21,CBC News,Tyler Seguin's Dallas home destroyed by tornado,https://www.cbc.ca/sports/hockey/nhl/nhl-tyler-seguin-home-destroyed-1.5329246
SA Transcripts,"Lennox International, Inc. (NYSE:LII) Q3 2019 Earnings Conference Call October 21, 2019 9:30 AM ET
Company Participants
Steve Harrison - VP, IR
Todd Bluedorn - Chairman &amp; CEO
Joseph Reitmeier - EVP &amp; CFO
Conference Call Participants
Julian Mitch… [+64074 chars]","Lennox International, Inc. (NYSE:LII) Q3 2019 Earnings Conference Call October 21, 2019 09:30 AM ET Company Participants Steve Harrison - VP, IR Todd Bluedorn -",https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,2019-10-21,Seekingalpha.com,"Lennox International, Inc. (LII) CEO Todd Bluedorn on Q3 2019 Results - Earnings Call Transcript",https://seekingalpha.com/article/4297688-lennox-international-inc-lii-ceo-todd-bluedorn-q3-2019-results-earnings-call-transcript
,"Dallas tornado knocks out power for thousands as it ravages parts of Texas.RELATED: Texas wind farms producing the most energy https://www.youtube.com/watch?v=tqCUY...
A tornado touched down in Dallas, Texas, leaving thousands without power and damaging home… [+330 chars]","Dallas tornado damages homes, leaves thousands without power | USA TODAY USA TODAY WEB EXTRA: Dallas Tornado Damage CBS Miami Tornado rips through Dallas area CGTN America View full coverage on Google News",https://i.ytimg.com/vi/p5PdahQdfbU/maxresdefault.jpg,2019-10-21,Youtube.com,"Dallas tornado damages homes, leaves thousands without power | USA TODAY - USA TODAY",https://www.youtube.com/watch?v=p5PdahQdfbU
Rachel Treisman,"Women stand outside a house damaged by a tornado in the Preston Hollow section of Dallas. The city was still cleaning up after the tornado on Monday.
LM Otero/AP
Local officials and emergency response personnel in Dallas, Texas, are gauging the extent of da… [+3963 chars]","Extensive structural damage was apparent by sunrise, but no fatalities or injuries have been reported, Mayor Eric Johnson said early Monday.",https://media.npr.org/assets/img/2019/10/21/ap_19294605267457_wide-d14a855b118d4b0f22f8d65979dc665b29ce1a99.jpg?s=1400,2019-10-21,Npr.org,A Tornado Struck Overnight. Now Dallas Is Assessing The Damage,https://www.npr.org/2019/10/21/772007002/a-tornado-struck-overnight-now-dallas-is-assessing-the-damage
,,"Cell phone captures the severe damage after a powerful tornado rips through Dallas, Texas. A local strip mall can be seen in ruins, roof collapsed, and trees littering the parking lot.",https://i.dailymail.co.uk/1s/2019/10/21/20/20005868-0-image-a-5_1571687108791.jpg,2019-10-21,Dailymail.co.uk,Cell phone video shows Dallas mall missing roof following tornado,https://www.dailymail.co.uk/video/news/video-2031996/Cell-phone-video-shows-Dallas-mall-missing-roof-following-tornado.html
